household_key,p_churn_calibrated,predicted_discounted_value_60d_if_active,predicted_expected_discounted_value_60d,break_even_treatment_cost_conservative,break_even_treatment_cost_base,break_even_treatment_cost_optimistic
1,0.0,350.92757417621215,347.8492621220348,0.0,0.0,0.0
10,0.23076923,68.796891814062,32.58800138560831,0.09525723170458075,0.19845257672989294,0.38102893963274265
100,0.088709675,204.53541880699137,193.17233998438073,0.10886561756107992,0.22680338579295423,0.43546248929316494
1000,0.05,343.60560375243267,340.59151950899025,0.10308168202175123,0.21475351754563407,0.4123267440873877
1001,0.088709675,374.65383651079804,371.3673993484226,0.19941251017196313,0.4154427586018878,0.79765007558021
1002,0.0,133.58646709777847,129.53839233723974,0.0,0.0,0.0
1003,0.16666667,80.8582462770864,78.40799638990195,0.08085824446976375,0.16845468852952616,0.32343299294007705
1004,0.088709675,185.23619244253376,185.23619244253376,0.0985934494990761,0.2054030341659625,0.39437381524776915
1005,0.15151516,139.79393841255873,135.9107734566543,0.12708539453271656,0.2647612548839825,0.5083416171888414
1006,0.0,31.8362194599366,25.203673739116475,0.0,0.0,0.0
1007,0.15151516,115.71798364310334,112.50359520857269,0.10519816361717922,0.21916285434046967,0.420792686799948
1008,0.15151516,26.63889964386505,25.158960774761436,0.02421718072758651,0.05045246295031463,0.0968687303531686
1009,0.3783784,28.33549357712985,16.667937398311675,0.06432923021928492,0.13401923622088147,0.2573169208771397
101,0.088709675,413.4118891606706,409.7854690803139,0.22004179463430293,0.45842043757311646,0.880167217039194
1010,0.088709675,211.46496533305094,209.6100094967961,0.11255392429239273,0.23448735868765952,0.4502157168637805
1011,0.088709675,237.7740059348809,237.7740059348809,0.12655712221900947,0.26366068974329465,0.5062285110204677
1012,0.27764928,110.88140837495935,107.52136569693027,0.18471685238476832,0.3848268102237202,0.7388674508456167
1013,0.3783784,46.765420679377684,37.02262470450733,0.10617014681591862,0.2211878167549201,0.42468058726367447
1014,0.088709675,362.0564814639766,358.88054741604697,0.19270746688504695,0.401473917443129,0.7708299012593252
1015,0.15151516,265.3709900583002,257.9995736677919,0.24124634695939676,0.5025965870586591,0.964985461981385
1016,0.05,236.27827270114517,223.151701995526,0.07088348242648716,0.14767393089065198,0.2835339407085131
1017,0.05,420.9131167727732,420.9131167727732,0.12627393612944846,0.2630707166032629,0.5050957641180881
1018,0.088709675,172.70366504754497,172.70366504754497,0.09192291124993267,0.19150607850759488,0.36769166108401286
1019,0.088709675,101.1684585053155,98.35822354683451,0.05384772367115906,0.1121827654999538,0.21539090410668313
102,0.3783784,69.71531929218813,33.02304598051016,0.15827262060392852,0.3297346424900471,0.6330904824157141
1020,0.0,1236.018180722081,1236.018180722081,0.0,0.0,0.0
1021,0.088709675,240.95294302482054,238.83932071758528,0.12824913698839605,0.26718572075956804,0.5129965703940756
1022,0.3783784,33.796250509293,16.00875024124405,0.07672662463574252,0.15984714252659968,0.30690649854297003
1023,0.088709675,1223.5213759726398,1186.4449706401356,0.651229068155362,1.3567273202814272,2.6049163865707556
1024,0.088709675,674.0231495403266,668.110665772429,0.3587542287451663,0.7474046955301777,1.4350169777539625
1025,0.23076923,214.41900220841302,212.53813376798834,0.2968878395034843,0.6185163655811351,1.1875513979525885
1026,0.3783784,39.76411385338322,18.835632877918368,0.09027528769093883,0.18807352528109342,0.36110115076375526
1027,0.15151516,59.67852439324109,57.87008426011258,0.05425320227592959,0.1130275116890146,0.21701282577770548
1028,0.23076923,28.590135728021863,13.54269587116825,0.03958634048279676,0.08247154711026637,0.15834536725651477
1029,0.0,997.1671142099079,988.4200342606982,0.0,0.0,0.0
103,0.23076923,54.455782758488056,51.430461494127606,0.0754003121231028,0.15708399204244747,0.3016012586355911
1030,0.088709675,117.4152021001086,110.89213531676923,0.062495183290232195,0.13019830763393608,0.2499807440960716
1031,1.0,74.01970422287397,35.061965158203456,0.44411821541042795,0.9252463165731689,1.7764728616417116
1032,0.23076923,91.05779522401969,90.2590426343353,0.1260800200335471,0.2626667225372532,0.5043200970950245
1033,0.0,163.19986459436888,129.19989280387534,0.0,0.0,0.0
1034,0.088709675,41.17192358265668,39.92428953469739,0.021914086631778518,0.045654350344900396,0.08765635036154824
1035,0.15151516,34.429823925236,12.301469155304252,0.031299838940924314,0.06520800180175135,0.12519936538327892
