household_key,is_treated,propensity_score,propensity_logit,common_support_flag,treatment_source,treatment_cutoff_day,p_churn_calibrated,predicted_discounted_value_60d_if_active,risk_decile,priority_segment,risk_rank
1,1,0.6456471030799236,0.599959773925285,True,Heavy_Promo_User,651,0.0759924886266445,350.92757417621215,9,Low Risk - High Value,2185
10,0,0.03293088483031031,-3.3798590006403932,False,Light/No_Promo_User,651,0.25825047714567,68.796891814062,1,High Risk - Low Value,180
100,1,0.5902543825799608,0.365017079067989,True,Heavy_Promo_User,651,0.1338989001413009,204.53541880699137,3,High Risk - Low Value,647
1000,0,0.33646838278576247,-0.6790723191676469,True,Light/No_Promo_User,651,0.0833808267629417,343.60560375243267,8,Low Risk - High Value,1961
1001,0,0.394096432953401,-0.4301252100811357,True,Light/No_Promo_User,651,0.0944458508303801,374.6538365107981,6,Low Risk - High Value,1479
1002,0,0.32913157038277385,-0.7121154558972017,True,Light/No_Promo_User,651,0.0670146466255502,133.58646709777847,10,Low Risk - Low Value,2340
1003,0,0.4725102413102143,-0.1100700289261423,True,Light/No_Promo_User,651,0.1595642051670173,80.8582462770864,2,High Risk - Low Value,446
1004,0,0.21488029608726592,-1.2957550845248178,True,Light/No_Promo_User,651,0.0959332541745228,185.23619244253376,6,Low Risk - Low Value,1416
1005,0,0.20296099676166254,-1.3678897887539485,True,Light/No_Promo_User,651,0.1389117922739855,139.79393841255873,3,High Risk - Low Value,610
1006,1,0.09258178376567415,-2.2825110395188406,True,Heavy_Promo_User,651,0.0878271871986928,31.8362194599366,8,Low Risk - Low Value,1789
1007,0,0.19568741777940374,-1.413469398554773,True,Light/No_Promo_User,651,0.1435919542334386,115.71798364310334,3,High Risk - Low Value,589
1008,0,0.1496752681913587,-1.7371502453140897,True,Light/No_Promo_User,651,0.1521117692776063,26.63889964386505,3,High Risk - Low Value,525
1009,0,0.13247213207463615,-1.879275336374598,True,Light/No_Promo_User,651,0.2738291293149648,28.33549357712985,1,High Risk - Low Value,139
101,1,0.4722033105463782,-0.11130151617389925,True,Heavy_Promo_User,651,0.1101334577846166,413.4118891606706,4,Low Risk - High Value,989
1010,0,0.36361927781906334,-0.5596896238179152,True,Light/No_Promo_User,651,0.1030071632882214,211.4649653330509,5,Low Risk - Low Value,1180
1011,1,0.21341712119251582,-1.30444952752123,True,Heavy_Promo_User,651,0.1223828435874947,237.7740059348809,4,Low Risk - Low Value,784
1012,0,0.28778957049133097,-0.9061438597502123,True,Light/No_Promo_User,651,0.2268651678567585,110.88140837495936,2,High Risk - Low Value,275
1013,0,0.24002662406055422,-1.1525335502331713,True,Light/No_Promo_User,651,0.2764791246614878,46.76542067937768,1,High Risk - Low Value,129
1014,0,0.4049991634015213,-0.38467781016335495,True,Light/No_Promo_User,651,0.0970370234836343,362.0564814639766,6,Low Risk - High Value,1376
1015,1,0.5206246173567022,0.08254530761763877,True,Heavy_Promo_User,651,0.1212019385125028,265.3709900583002,4,Low Risk - Low Value,801
1016,0,0.36514196740767424,-0.5531151734140908,True,Light/No_Promo_User,651,0.0788077777865094,236.2782727011452,9,Low Risk - Low Value,2089
1017,1,0.5584525304539635,0.2348840871312488,True,Heavy_Promo_User,651,0.0723672637475723,420.9131167727732,10,Low Risk - High Value,2280
1018,1,0.22018750570442097,-1.2645740168475592,True,Heavy_Promo_User,651,0.0908056274416929,172.70366504754497,7,Low Risk - Low Value,1657
1019,0,0.237172735001797,-1.168242901068724,True,Light/No_Promo_User,651,0.099744206271513,101.1684585053155,6,Low Risk - Low Value,1288
102,1,0.2790438445156791,-0.9492094064580421,True,Heavy_Promo_User,651,0.288592161886643,69.71531929218813,1,High Risk - Low Value,74
1020,0,0.6506145825045517,0.621741766737558,True,Light/No_Promo_User,651,0.0719069841705962,1236.018180722081,10,Low Risk - High Value,2287
1021,0,0.30579595104978696,-0.8198478830621068,True,Light/No_Promo_User,651,0.110596924638955,240.9529430248205,4,Low Risk - Low Value,976
1022,0,0.11508532166963009,-2.039817450861012,True,Light/No_Promo_User,651,0.2758089922398844,33.796250509293,1,High Risk - Low Value,133
1023,1,0.5025304386866857,0.010121841162483566,True,Heavy_Promo_User,651,0.1070228863025176,1223.5213759726398,5,Low Risk - High Value,1062
1024,1,0.6063467186285234,0.4319814400547005,True,Heavy_Promo_User,651,0.1158377843200076,674.0231495403266,4,Low Risk - High Value,886
1025,0,0.392524373620687,-0.436713419532419,True,Light/No_Promo_User,651,0.1567848318728099,214.41900220841305,2,High Risk - Low Value,475
1026,0,0.15204234012710885,-1.7186716696249305,True,Light/No_Promo_User,651,0.2621900418234671,39.76411385338322,1,High Risk - Low Value,168
1027,1,0.24198754508062373,-1.1418135585761904,True,Heavy_Promo_User,651,0.1646415136817825,59.67852439324109,2,High Risk - Low Value,413
1028,1,0.12134477933320506,-1.9797566706310736,True,Heavy_Promo_User,651,0.2386275714474399,28.590135728021863,1,High Risk - Low Value,244
1029,1,0.5987741491934983,0.4003599928669091,True,Heavy_Promo_User,651,0.0734459852003378,997.167114209908,10,Low Risk - High Value,2253
103,0,0.17818838502720236,-1.528669856433905,True,Light/No_Promo_User,651,0.1546202646651617,54.455782758488056,3,High Risk - Low Value,506
1030,0,0.2926722537592913,-0.8824407365846881,True,Light/No_Promo_User,651,0.1039310980885449,117.4152021001086,5,Low Risk - Low Value,1145
1031,0,0.1794137594496929,-1.5203243685921235,True,Light/No_Promo_User,651,0.3526551619178891,74.01970422287397,1,High Risk - Low Value,7
1032,1,0.2585230209234697,-1.0536593688918976,True,Heavy_Promo_User,651,0.1770675142815684,91.05779522401969,2,High Risk - Low Value,381
1033,1,0.38317398699983507,-0.47609783530420996,True,Heavy_Promo_User,651,0.0607078238508172,163.19986459436888,10,Low Risk - Low Value,2393
1034,0,0.13777854206161222,-1.833864520960132,True,Light/No_Promo_User,651,0.1009212053625425,41.17192358265668,5,Low Risk - Low Value,1242
1035,0,0.12992258423587316,-1.9016434241331153,True,Light/No_Promo_User,651,0.2052132935909716,34.429823925236,2,High Risk - Low Value,333
1036,0,0.2663667001621397,-1.0131353808137569,True,Light/No_Promo_User,651,0.0552674352640664,190.21248378708037,10,Low Risk - Low Value,2436
1037,0,0.195800184388754,-1.4127530933650823,True,Light/No_Promo_User,651,0.1027635721346623,74.08954656733705,5,Low Risk - Low Value,1190
